datetime,zone_id,zone_name,vehicle_type,weather,temperature,humidity,traffic_index,hourly_vehicle_count,ride_demand
2024-01-01 03:00:00,7,BTM Layout,Auto,Clear,28.0,75.6,3.3,82,57
2024-01-01 03:00:00,8,Rajajinagar,Cab,Cloudy,30.1,77.3,2.9,216,94
2024-01-01 03:00:00,9,Marathahalli,Cab,Rainy,28.0,56.3,3.4,114,110
2024-01-01 03:00:00,10,JP Nagar,Auto,Rainy,22.8,41.0,4.2,207,68
2024-01-01 04:00:00,1,Indiranagar,Cab,Rainy,23.5,85.7,6.7,51,43
2024-01-01 04:00:00,2,Whitefield,Auto,Clear,27.6,63.1,6.1,80,24
2024-01-01 04:00:00,3,Koramangala,Auto,Cloudy,23.3,46.2,4.5,109,24
2024-01-01 04:00:00,4,MG Road,Cab,Clear,31.9,61.1,5.5,144,77
2024-01-01 04:00:00,5,Electronic City,Cab,Rainy,27.5,83.9,6.1,281,117
2024-01-01 04:00:00,6,Hebbal,Cab,Rainy,33.0,40.8,7.3,147,78
2024-01-01 04:00:00,7,BTM Layout,Cab,Clear,32.1,68.9,5.4,91,62
2024-01-01 04:00:00,8,Rajajinagar,Auto,Clear,30.8,70.4,6.6,140,57
2024-01-01 04:00:00,9,Marathahalli,Cab,Rainy,27.0,49.1,3.5,77,106
2024-01-01 04:00:00,10,JP Nagar,Auto,Clear,25.3,55.5,2.8,110,26
2024-01-01 05:00:00,1,Indiranagar,Bike,Clear,25.7,81.6,3.8,91,50
2024-01-01 05:00:00,2,Whitefield,Auto,Cloudy,29.2,43.8,8.3,239,96
2024-01-01 05:00:00,3,Koramangala,Auto,Clear,25.0,68.1,4.2,62,56
2024-01-01 05:00:00,4,MG Road,Auto,Rainy,32.4,42.8,5.1,232,40
2024-01-01 05:00:00,5,Electronic City,Auto,Clear,29.1,87.1,7.2,120,34
2024-01-01 05:00:00,6,Hebbal,Auto,Clear,23.7,70.4,7.2,233,71
2024-01-01 05:00:00,7,BTM Layout,Cab,Rainy,27.8,43.6,2.5,183,117
2024-01-01 05:00:00,8,Rajajinagar,Auto,Clear,30.0,82.2,7.9,98,42
2024-01-01 05:00:00,9,Marathahalli,Cab,Clear,30.7,74.8,8.6,134,50
2024-01-01 05:00:00,10,JP Nagar,Auto,Clear,27.7,87.3,4.1,293,42
2024-01-01 06:00:00,1,Indiranagar,Auto,Clear,30.9,58.6,4.4,286,27
2024-01-01 06:00:00,2,Whitefield,Cab,Clear,28.3,80.2,6.6,170,43
2024-01-01 06:00:00,3,Koramangala,Bike,Cloudy,28.7,43.9,4.0,134,47
2024-01-01 06:00:00,4,MG Road,Auto,Clear,32.0,44.7,5.4,234,35
2024-01-01 06:00:00,5,Electronic City,Bike,Clear,27.9,57.6,6.7,297,56
2024-01-01 06:00:00,6,Hebbal,Auto,Clear,26.1,40.2,6.5,120,50
2024-01-01 06:00:00,7,BTM Layout,Auto,Rainy,26.8,69.8,5.8,55,97
2024-01-01 06:00:00,8,Rajajinagar,Auto,Cloudy,30.8,53.2,8.2,260,39
2024-01-01 06:00:00,9,Marathahalli,Bike,Clear,29.7,79.8,5.0,80,74
2024-01-01 06:00:00,10,JP Nagar,Cab,Rainy,26.5,74.1,5.9,169,93
2024-01-01 07:00:00,1,Indiranagar,Bike,Clear,28.7,69.0,2.0,125,118
2024-01-01 07:00:00,2,Whitefield,Auto,Clear,30.9,76.6,8.0,210,103
2024-01-01 07:00:00,3,Koramangala,Bike,Clear,24.3,64.2,3.2,58,55
2024-01-01 07:00:00,4,MG Road,Auto,Rainy,25.7,83.2,2.4,271,37
2024-01-01 07:00:00,5,Electronic City,Auto,Clear,26.3,50.8,2.7,113,133
2024-01-01 07:00:00,6,Hebbal,Cab,Rainy,24.4,53.2,8.0,248,104
2024-01-01 07:00:00,7,BTM Layout,Cab,Clear,29.3,81.5,5.6,262,121
2024-01-01 07:00:00,8,Rajajinagar,Bike,Clear,26.7,48.8,5.7,135,135
2024-01-01 07:00:00,9,Marathahalli,Auto,Rainy,27.9,52.6,2.2,58,149
2024-01-01 07:00:00,10,JP Nagar,Bike,Clear,30.6,74.1,2.5,102,30
2024-01-01 08:00:00,1,Indiranagar,Cab,Clear,28.4,63.8,6.9,154,61
2024-01-01 08:00:00,2,Whitefield,Cab,Clear,26.6,79.4,5.9,117,46
2024-01-01 08:00:00,3,Koramangala,Auto,Clear,27.0,76.0,2.3,86,106
2024-01-01 08:00:00,4,MG Road,Cab,Clear,24.7,53.8,4.1,227,78
2024-01-01 08:00:00,5,Electronic City,Auto,Rainy,31.3,73.5,8.2,144,142
2024-01-01 08:00:00,6,Hebbal,Auto,Clear,32.7,50.7,7.0,143,31
2024-01-01 08:00:00,7,BTM Layout,Bike,Clear,30.3,78.4,7.1,84,33
2024-01-01 08:00:00,8,Rajajinagar,Cab,Clear,26.2,51.7,6.7,177,48
2024-01-01 08:00:00,9,Marathahalli,Bike,Rainy,30.9,48.9,7.0,147,169
2024-01-01 08:00:00,10,JP Nagar,Cab,Clear,30.2,54.8,8.1,259,147
2024-01-01 09:00:00,1,Indiranagar,Bike,Clear,31.9,55.4,6.7,73,31
2024-01-01 09:00:00,2,Whitefield,Auto,Clear,26.5,70.1,6.8,239,132
2024-01-01 09:00:00,3,Koramangala,Auto,Clear,26.0,67.2,5.5,168,52
2024-01-01 09:00:00,4,MG Road,Bike,Clear,23.7,68.1,7.0,101,60
2024-01-01 09:00:00,5,Electronic City,Auto,Clear,25.1,54.4,6.7,261,82
2024-01-01 09:00:00,6,Hebbal,Bike,Rainy,20.7,58.3,2.8,231,154
2024-01-01 09:00:00,7,BTM Layout,Auto,Clear,29.7,67.3,2.6,241,43
2024-01-01 09:00:00,8,Rajajinagar,Bike,Rainy,28.1,50.0,7.7,213,117
2024-01-01 09:00:00,9,Marathahalli,Bike,Clear,28.9,81.4,4.8,182,132
2024-01-01 09:00:00,10,JP Nagar,Auto,Clear,29.7,79.7,4.0,254,82
2024-01-01 10:00:00,1,Indiranagar,Auto,Rainy,31.3,73.5,4.9,150,28
2024-01-01 10:00:00,2,Whitefield,Auto,Clear,27.1,50.0,7.4,152,23
2024-01-01 10:00:00,3,Koramangala,Auto,Clear,23.9,74.9,8.9,172,49
2024-01-01 10:00:00,4,MG Road,Cab,Rainy,25.7,89.1,4.8,225,75
2024-01-01 10:00:00,5,Electronic City,Cab,Clear,29.2,62.7,7.4,234,24
2024-01-01 10:00:00,6,Hebbal,Bike,Cloudy,31.9,60.1,6.1,191,83
2024-01-01 10:00:00,7,BTM Layout,Auto,Clear,27.4,87.5,6.6,220,70
2024-01-01 10:00:00,8,Rajajinagar,Auto,Rainy,31.3,75.4,4.3,227,51
2024-01-01 10:00:00,9,Marathahalli,Auto,Clear,28.5,55.7,3.6,202,70
2024-01-01 10:00:00,10,JP Nagar,Auto,Clear,25.2,86.1,6.6,234,68
2024-01-01 11:00:00,1,Indiranagar,Cab,Clear,31.6,53.6,8.9,254,93
2024-01-01 11:00:00,2,Whitefield,Cab,Clear,22.0,86.6,7.1,217,23
2024-01-01 11:00:00,3,Koramangala,Auto,Clear,27.0,53.6,2.1,113,77
2024-01-01 11:00:00,4,MG Road,Bike,Cloudy,25.1,47.2,6.7,114,46
2024-01-01 11:00:00,5,Electronic City,Auto,Clear,28.8,71.9,2.6,256,49
2024-01-01 11:00:00,6,Hebbal,Auto,Clear,29.4,57.4,6.4,228,30
2024-01-01 11:00:00,7,BTM Layout,Auto,Clear,22.8,69.1,5.9,72,73
2024-01-01 11:00:00,8,Rajajinagar,Bike,Cloudy,25.4,83.4,7.0,98,48
2024-01-01 11:00:00,9,Marathahalli,Bike,Clear,29.1,71.2,5.7,265,82
2024-01-01 11:00:00,10,JP Nagar,Cab,Clear,26.7,46.3,8.0,242,61
2024-01-01 12:00:00,1,Indiranagar,Cab,Clear,26.8,68.7,6.6,68,21
2024-01-01 12:00:00,2,Whitefield,Auto,Cloudy,29.8,68.0,2.6,133,35
2024-01-01 12:00:00,3,Koramangala,Auto,Clear,30.0,59.1,3.5,275,25
2024-01-01 12:00:00,4,MG Road,Bike,Rainy,25.4,59.3,7.7,223,45
2024-01-01 12:00:00,5,Electronic City,Auto,Clear,30.8,79.8,4.4,236,32
2024-01-01 12:00:00,6,Hebbal,Cab,Clear,28.7,63.2,4.9,93,38
2024-01-01 12:00:00,7,BTM Layout,Auto,Cloudy,31.3,58.4,2.3,281,96
2024-01-01 12:00:00,8,Rajajinagar,Auto,Rainy,25.3,68.7,3.5,118,108
2024-01-01 12:00:00,9,Marathahalli,Auto,Clear,27.0,84.2,8.0,281,60
2024-01-01 12:00:00,10,JP Nagar,Bike,Cloudy,23.8,75.6,5.7,244,79
2024-01-01 13:00:00,1,Indiranagar,Cab,Cloudy,23.4,53.3,6.9,266,78
2024-01-01 13:00:00,2,Whitefield,Cab,Clear,31.5,66.8,2.4,109,35
2024-01-01 13:00:00,3,Koramangala,Bike,Cloudy,26.3,69.0,7.9,63,36
2024-01-01 13:00:00,4,MG Road,Auto,Cloudy,27.4,58.5,8.3,149,72
2024-01-01 13:00:00,5,Electronic City,Bike,Clear,29.7,77.9,8.9,134,74
2024-01-01 13:00:00,6,Hebbal,Auto,Clear,31.6,85.4,6.8,171,83
2024-01-01 13:00:00,7,BTM Layout,Cab,Clear,26.1,72.5,3.9,100,83
2024-01-01 13:00:00,8,Rajajinagar,Cab,Rainy,30.8,86.0,5.1,86,68
2024-01-01 13:00:00,9,Marathahalli,Bike,Clear,28.8,56.2,2.2,183,85
2024-01-01 13:00:00,10,JP Nagar,Bike,Cloudy,28.1,79.1,4.4,219,72
2024-01-01 14:00:00,1,Indiranagar,Bike,Clear,24.2,83.4,2.8,93,80
2024-01-01 14:00:00,2,Whitefield,Bike,Rainy,27.0,77.4,2.4,110,56
2024-01-01 14:00:00,3,Koramangala,Cab,Clear,25.5,47.2,3.8,293,22
2024-01-01 14:00:00,4,MG Road,Auto,Clear,26.6,82.2,7.9,101,46
2024-01-01 14:00:00,5,Electronic City,Cab,Clear,27.0,43.3,4.8,270,59
2024-01-01 14:00:00,6,Hebbal,Cab,Cloudy,30.0,64.2,6.5,222,78
2024-01-01 14:00:00,7,BTM Layout,Bike,Clear,28.7,49.2,6.6,179,43
2024-01-01 14:00:00,8,Rajajinagar,Cab,Clear,25.2,80.6,4.9,95,72
2024-01-01 14:00:00,9,Marathahalli,Bike,Rainy,21.6,45.9,3.8,294,96
2024-01-01 14:00:00,10,JP Nagar,Cab,Rainy,29.5,63.6,2.7,215,92
2024-01-01 15:00:00,1,Indiranagar,Cab,Clear,27.2,88.4,5.5,144,54
2024-01-01 15:00:00,2,Whitefield,Cab,Clear,24.7,56.6,5.0,106,73
2024-01-01 15:00:00,3,Koramangala,Cab,Cloudy,28.2,73.6,8.7,102,67
2024-01-01 15:00:00,4,MG Road,Auto,Rainy,30.6,87.8,4.0,127,116
2024-01-01 15:00:00,5,Electronic City,Auto,Clear,29.8,76.9,7.3,122,96
2024-01-01 15:00:00,6,Hebbal,Auto,Rainy,23.5,55.2,2.2,274,105
2024-01-01 15:00:00,7,BTM Layout,Bike,Clear,29.9,68.5,8.6,62,46
2024-01-01 15:00:00,8,Rajajinagar,Bike,Clear,32.7,58.8,8.6,285,82
2024-01-01 15:00:00,9,Marathahalli,Auto,Rainy,31.8,82.9,6.1,111,102
2024-01-01 15:00:00,10,JP Nagar,Auto,Cloudy,28.2,62.1,8.5,150,33
2024-01-01 16:00:00,1,Indiranagar,Auto,Clear,29.9,73.1,8.1,276,57
2024-01-01 16:00:00,2,Whitefield,Cab,Cloudy,25.9,53.3,5.7,289,34
2024-01-01 16:00:00,3,Koramangala,Cab,Clear,27.8,52.2,7.1,204,86
2024-01-01 16:00:00,4,MG Road,Cab,Rainy,28.3,77.7,3.0,199,55
2024-01-01 16:00:00,5,Electronic City,Auto,Clear,33.0,59.0,7.3,84,27
2024-01-01 16:00:00,6,Hebbal,Cab,Clear,26.1,58.5,8.5,189,21
2024-01-01 16:00:00,7,BTM Layout,Auto,Clear,30.2,51.5,7.4,205,73
2024-01-01 16:00:00,8,Rajajinagar,Auto,Clear,26.8,66.6,3.6,72,80
2024-01-01 16:00:00,9,Marathahalli,Auto,Clear,29.2,50.5,2.2,216,29
2024-01-01 16:00:00,10,JP Nagar,Auto,Clear,25.2,75.2,7.2,211,76
2024-01-01 17:00:00,1,Indiranagar,Auto,Clear,25.8,73.1,8.1,280,130
2024-01-01 17:00:00,2,Whitefield,Bike,Rainy,32.8,72.2,4.9,190,140
2024-01-01 17:00:00,3,Koramangala,Auto,Clear,26.2,63.6,4.6,123,103
2024-01-01 17:00:00,4,MG Road,Bike,Clear,31.1,71.4,2.4,149,81
2024-01-01 17:00:00,5,Electronic City,Auto,Clear,27.2,78.8,5.1,133,82
2024-01-01 17:00:00,6,Hebbal,Cab,Cloudy,31.3,89.1,5.0,134,57
2024-01-01 17:00:00,7,BTM Layout,Bike,Clear,27.9,51.6,2.9,218,115
2024-01-01 17:00:00,8,Rajajinagar,Auto,Clear,25.9,63.8,3.5,264,105
2024-01-01 17:00:00,9,Marathahalli,Cab,Clear,32.6,72.4,6.7,91,108
2024-01-01 17:00:00,10,JP Nagar,Auto,Clear,26.0,57.8,3.7,117,129
2024-01-01 18:00:00,1,Indiranagar,Bike,Cloudy,31.4,60.7,8.8,267,97
2024-01-01 18:00:00,2,Whitefield,Auto,Clear,26.0,75.9,2.0,92,61
2024-01-01 18:00:00,3,Koramangala,Auto,Clear,33.1,61.0,8.7,156,58
2024-01-01 18:00:00,4,MG Road,Cab,Clear,27.6,80.7,6.0,104,127
2024-01-01 18:00:00,5,Electronic City,Bike,Clear,31.1,48.0,2.1,123,75
2024-01-01 18:00:00,6,Hebbal,Cab,Clear,30.9,58.1,3.0,167,96
2024-01-01 18:00:00,7,BTM Layout,Bike,Clear,22.6,50.1,3.3,151,78
2024-01-01 18:00:00,8,Rajajinagar,Auto,Rainy,28.5,57.9,2.9,157,158
2024-01-01 18:00:00,9,Marathahalli,Bike,Clear,31.1,59.2,6.4,238,109
2024-01-01 18:00:00,10,JP Nagar,Auto,Clear,29.8,55.9,2.1,207,94
2024-01-01 19:00:00,1,Indiranagar,Cab,Rainy,32.4,54.1,6.5,243,176
2024-01-01 19:00:00,2,Whitefield,Cab,Clear,33.8,70.7,8.4,135,33
2024-01-01 19:00:00,3,Koramangala,Auto,Clear,26.6,67.4,7.4,121,120
2024-01-01 19:00:00,4,MG Road,Auto,Clear,29.0,58.8,6.1,163,48
2024-01-01 19:00:00,5,Electronic City,Bike,Cloudy,26.9,87.6,5.3,180,40
2024-01-01 19:00:00,6,Hebbal,Auto,Cloudy,33.6,57.9,4.5,184,132
2024-01-01 19:00:00,7,BTM Layout,Cab,Clear,28.0,87.6,5.5,137,75
2024-01-01 19:00:00,8,Rajajinagar,Cab,Rainy,29.7,89.6,6.8,127,133
2024-01-01 19:00:00,9,Marathahalli,Cab,Cloudy,33.1,53.6,4.2,187,61
2024-01-01 19:00:00,10,JP Nagar,Auto,Rainy,27.2,60.8,2.2,256,70
2024-01-01 20:00:00,1,Indiranagar,Auto,Clear,28.6,64.4,2.3,144,121
2024-01-01 20:00:00,2,Whitefield,Bike,Clear,26.1,80.9,8.0,289,148
2024-01-01 20:00:00,3,Koramangala,Cab,Clear,25.5,84.4,8.0,225,33
2024-01-01 20:00:00,4,MG Road,Cab,Cloudy,27.5,75.3,8.5,110,79
2024-01-01 20:00:00,5,Electronic City,Cab,Rainy,28.3,42.9,8.4,107,149
2024-01-01 20:00:00,6,Hebbal,Auto,Clear,28.8,64.7,3.4,258,96
2024-01-01 20:00:00,7,BTM Layout,Bike,Clear,33.0,60.2,4.5,244,132
2024-01-01 20:00:00,8,Rajajinagar,Bike,Clear,23.0,50.1,3.7,185,76
2024-01-01 20:00:00,9,Marathahalli,Cab,Rainy,29.4,47.4,4.0,274,61
2024-01-01 20:00:00,10,JP Nagar,Cab,Clear,27.2,57.6,7.4,280,148
2024-01-01 21:00:00,1,Indiranagar,Auto,Cloudy,28.1,43.8,3.4,188,95
2024-01-01 21:00:00,2,Whitefield,Bike,Rainy,28.9,70.4,8.3,225,79
2024-01-01 21:00:00,3,Koramangala,Cab,Cloudy,24.5,68.4,7.1,52,37
2024-01-01 21:00:00,4,MG Road,Cab,Clear,24.1,43.6,7.7,93,81
2024-01-01 21:00:00,5,Electronic City,Bike,Clear,26.7,46.1,3.6,136,20
2024-01-01 21:00:00,6,Hebbal,Bike,Rainy,25.0,62.3,4.4,195,92
2024-01-01 21:00:00,7,BTM Layout,Auto,Clear,30.8,53.1,2.1,232,47
2024-01-01 21:00:00,8,Rajajinagar,Auto,Clear,29.2,64.7,3.3,143,85
2024-01-01 21:00:00,9,Marathahalli,Auto,Clear,23.5,67.2,3.6,211,38
2024-01-01 21:00:00,10,JP Nagar,Bike,Rainy,31.0,64.4,8.0,76,63
2024-01-01 22:00:00,1,Indiranagar,Cab,Clear,32.4,56.8,2.8,89,74
2024-01-01 22:00:00,2,Whitefield,Auto,Cloudy,28.6,79.4,5.2,227,66
2024-01-01 22:00:00,3,Koramangala,Cab,Rainy,30.0,69.3,6.0,233,115
2024-01-01 22:00:00,4,MG Road,Auto,Rainy,23.9,51.2,4.0,100,63
2024-01-01 22:00:00,5,Electronic City,Auto,Clear,29.6,84.7,7.3,190,94
2024-01-01 22:00:00,6,Hebbal,Cab,Clear,28.1,50.5,3.7,144,79
2024-01-01 22:00:00,7,BTM Layout,Auto,Clear,28.7,58.2,4.3,143,33
2024-01-01 22:00:00,8,Rajajinagar,Cab,Clear,23.1,60.2,2.8,109,60
2024-01-01 22:00:00,9,Marathahalli,Bike,Rainy,25.9,71.8,8.2,213,108
2024-01-01 22:00:00,10,JP Nagar,Bike,Clear,30.2,89.0,4.5,116,63
2024-01-01 23:00:00,1,Indiranagar,Cab,Rainy,31.6,49.9,7.7,83,32
2024-01-01 23:00:00,2,Whitefield,Auto,Clear,29.3,62.3,4.0,70,64
2024-01-01 23:00:00,3,Koramangala,Auto,Rainy,27.8,79.7,8.5,93,79
2024-01-01 23:00:00,4,MG Road,Bike,Cloudy,26.6,79.8,6.2,219,60
2024-01-01 23:00:00,5,Electronic City,Cab,Clear,32.9,57.3,2.1,193,40
2024-01-01 23:00:00,6,Hebbal,Auto,Clear,28.0,52.5,7.3,106,42
2024-01-01 23:00:00,7,BTM Layout,Cab,Clear,27.5,56.6,5.3,102,26
2024-01-01 23:00:00,8,Rajajinagar,Auto,Cloudy,24.3,77.7,8.8,99,99
2024-01-01 23:00:00,9,Marathahalli,Auto,Rainy,25.9,49.0,3.6,280,68
2024-01-01 23:00:00,10,JP Nagar,Bike,Clear,33.0,52.2,4.4,66,98
2024-01-02 00:00:00,1,Indiranagar,Cab,Clear,24.4,43.5,8.8,108,79
2024-01-02 00:00:00,2,Whitefield,Bike,Clear,32.6,59.5,8.9,273,95
2024-01-02 00:00:00,3,Koramangala,Bike,Cloudy,33.1,40.2,4.9,96,38
2024-01-02 00:00:00,4,MG Road,Auto,Rainy,29.7,54.3,7.9,152,79
2024-01-02 00:00:00,5,Electronic City,Auto,Cloudy,32.8,66.4,5.7,231,37
2024-01-02 00:00:00,6,Hebbal,Auto,Clear,27.5,51.6,7.7,85,69
2024-01-02 00:00:00,7,BTM Layout,Bike,Rainy,27.0,83.6,5.6,123,90
2024-01-02 00:00:00,8,Rajajinagar,Auto,Clear,29.7,44.6,6.1,267,79
2024-01-02 00:00:00,9,Marathahalli,Cab,Cloudy,29.2,82.2,4.1,72,27
2024-01-02 00:00:00,10,JP Nagar,Auto,Clear,34.7,63.3,4.3,268,69
2024-01-02 01:00:00,1,Indiranagar,Bike,Clear,29.1,43.6,3.4,228,80
2024-01-02 01:00:00,2,Whitefield,Bike,Rainy,28.5,88.4,8.8,114,90
2024-01-02 01:00:00,3,Koramangala,Auto,Clear,24.1,61.4,6.6,204,24
2024-01-02 01:00:00,4,MG Road,Auto,Clear,27.8,81.8,5.1,160,40
2024-01-02 01:00:00,5,Electronic City,Cab,Rainy,23.9,88.6,5.3,209,62
2024-01-02 01:00:00,6,Hebbal,Cab,Clear,24.3,79.7,5.6,180,92
2024-01-02 01:00:00,7,BTM Layout,Bike,Cloudy,27.3,74.2,6.0,219,84
2024-01-02 01:00:00,8,Rajajinagar,Cab,Clear,26.8,60.1,7.0,212,44
2024-01-02 01:00:00,9,Marathahalli,Bike,Clear,24.3,65.5,8.9,107,64
2024-01-02 01:00:00,10,JP Nagar,Auto,Clear,27.7,86.8,6.8,249,59
2024-01-02 02:00:00,1,Indiranagar,Bike,Clear,27.3,81.1,8.9,202,25
2024-01-02 02:00:00,2,Whitefield,Cab,Rainy,31.2,49.9,2.4,250,90
2024-01-02 02:00:00,3,Koramangala,Auto,Rainy,28.6,64.9,3.2,165,64
2024-01-02 02:00:00,4,MG Road,Cab,Clear,27.0,82.3,3.4,160,32
2024-01-02 02:00:00,5,Electronic City,Bike,Cloudy,29.4,54.9,7.6,137,78
2024-01-02 02:00:00,6,Hebbal,Auto,Cloudy,33.0,86.7,6.7,264,28
2024-01-02 02:00:00,7,BTM Layout,Auto,Clear,34.1,79.2,3.7,96,30
2024-01-02 02:00:00,8,Rajajinagar,Auto,Clear,31.6,56.0,5.7,62,70
2024-01-02 02:00:00,9,Marathahalli,Cab,Clear,24.5,44.1,3.0,289,52
2024-01-02 02:00:00,10,JP Nagar,Bike,Rainy,28.7,62.9,4.7,173,66
2024-01-02 03:00:00,1,Indiranagar,Bike,Rainy,29.7,52.4,3.9,174,78
2024-01-02 03:00:00,2,Whitefield,Cab,Clear,26.5,87.7,2.1,157,96
2024-01-02 03:00:00,3,Koramangala,Bike,Clear,25.7,45.5,3.4,61,47
2024-01-02 03:00:00,4,MG Road,Cab,Rainy,37.0,81.3,3.2,251,84
2024-01-02 03:00:00,5,Electronic City,Auto,Clear,30.0,55.9,3.8,216,44
2024-01-02 03:00:00,6,Hebbal,Auto,Rainy,30.6,89.0,7.0,110,48
2024-01-02 03:00:00,7,BTM Layout,Bike,Rainy,30.7,88.8,7.7,209,103
2024-01-02 03:00:00,8,Rajajinagar,Cab,Rainy,34.0,48.0,8.2,59,78
2024-01-02 03:00:00,9,Marathahalli,Bike,Clear,28.9,58.1,4.7,216,68
2024-01-02 03:00:00,10,JP Nagar,Cab,Cloudy,25.0,63.6,2.6,231,55
2024-01-02 04:00:00,1,Indiranagar,Cab,Clear,28.3,78.4,6.6,249,75
2024-01-02 04:00:00,2,Whitefield,Cab,Clear,27.7,56.1,6.8,108,45
2024-01-02 04:00:00,3,Koramangala,Bike,Clear,31.7,76.3,8.6,135,63
2024-01-02 04:00:00,4,MG Road,Cab,Clear,30.5,78.2,4.9,165,29
2024-01-02 04:00:00,5,Electronic City,Auto,Clear,27.7,88.9,8.3,126,44
2024-01-02 04:00:00,6,Hebbal,Bike,Clear,30.6,53.2,3.7,198,54
2024-01-02 04:00:00,7,BTM Layout,Bike,Clear,27.6,81.0,4.2,183,74
2024-01-02 04:00:00,8,Rajajinagar,Cab,Clear,24.8,74.6,6.5,172,95
2024-01-02 04:00:00,9,Marathahalli,Cab,Cloudy,27.6,78.5,6.5,163,99
2024-01-02 04:00:00,10,JP Nagar,Auto,Rainy,30.4,86.5,2.8,219,63
2024-01-02 05:00:00,1,Indiranagar,Cab,Clear,29.1,46.4,5.6,215,99
2024-01-02 05:00:00,2,Whitefield,Auto,Rainy,29.1,85.7,7.4,264,85
2024-01-02 05:00:00,3,Koramangala,Bike,Clear,32.0,72.9,4.8,226,51
2024-01-02 05:00:00,4,MG Road,Auto,Rainy,28.9,43.9,3.6,166,67
2024-01-02 05:00:00,5,Electronic City,Cab,Clear,26.8,68.9,3.5,182,62
2024-01-02 05:00:00,6,Hebbal,Bike,Clear,28.6,53.3,5.9,280,63
2024-01-02 05:00:00,7,BTM Layout,Auto,Clear,26.2,71.8,8.5,107,65
2024-01-02 05:00:00,8,Rajajinagar,Auto,Clear,27.4,48.9,8.4,120,51
2024-01-02 05:00:00,9,Marathahalli,Auto,Cloudy,28.9,80.6,3.6,254,23
2024-01-02 05:00:00,10,JP Nagar,Cab,Clear,27.7,68.5,3.0,275,43
2024-01-02 06:00:00,1,Indiranagar,Bike,Clear,26.8,60.0,2.2,118,55
