booking_id,pickup_datetime,pickup_lat,pickup_lon,drop_lat,drop_lon,distance_km,trip_time_minutes,passenger_count,base_fare,surge_multiplier,final_fare
BK00050,2024-01-17 22:39:00,12.901,77.5855,12.9698,77.7499,6.6,19.07,1,96.02,2.0,192.04
BK00051,2024-02-29 12:28:00,12.9698,77.7499,12.901,77.5855,13.59,34.35,2,165.87,2.5,414.67
BK00052,2024-01-22 07:32:00,12.9757,77.605,12.9352,77.6245,9.46,35.78,2,124.62,1.0,124.62
BK00053,2024-01-25 01:11:00,12.8452,77.6602,12.9166,77.6101,7.91,18.73,3,109.1,2.0,218.21
BK00054,2024-01-21 13:34:00,12.9592,77.6974,12.9352,77.6245,11.84,28.22,1,148.39,2.5,370.98
BK00055,2024-01-11 23:38:00,12.9915,77.5545,12.9784,77.6408,7.34,18.19,1,103.42,1.2,124.1
BK00056,2024-01-25 10:25:00,12.9166,77.6101,12.9784,77.6408,6.68,23.53,2,96.84,1.5,145.26
BK00057,2024-02-28 18:51:00,12.9352,77.6245,12.9757,77.605,11.2,41.74,2,142.03,2.5,355.08
BK00058,2024-01-20 18:16:00,12.9592,77.6974,12.9757,77.605,11.36,23.74,1,143.61,2.0,287.22
BK00059,2024-02-29 01:52:00,12.9352,77.6245,12.9352,77.6245,5.43,12.74,3,84.31,1.5,126.47
BK00060,2024-01-18 02:52:00,12.9698,77.7499,12.8452,77.6602,13.29,28.33,1,162.91,1.0,162.91
BK00061,2024-02-10 17:25:00,12.9592,77.6974,12.9915,77.5545,11.33,39.73,3,143.26,2.5,358.15
BK00062,2024-01-07 16:40:00,12.9915,77.5545,12.9166,77.6101,10.92,35.6,3,139.24,2.0,278.47
BK00063,2024-01-21 05:11:00,12.9166,77.6101,13.0358,77.597,4.55,10.55,3,75.53,2.0,151.06
BK00064,2024-01-14 07:28:00,12.9915,77.5545,12.9757,77.605,14.55,44.8,3,175.46,1.0,175.46
BK00065,2024-01-11 05:02:00,12.9352,77.6245,12.8452,77.6602,2.13,6.44,3,51.34,2.5,128.35
BK00066,2024-01-13 21:48:00,12.9757,77.605,12.9592,77.6974,9.92,35.17,1,129.21,1.5,193.81
BK00067,2024-01-22 00:32:00,12.9784,77.6408,12.901,77.5855,4.33,11.39,3,73.33,1.0,73.33
BK00068,2024-01-02 02:11:00,12.8452,77.6602,12.9592,77.6974,10.38,24.41,3,133.81,1.5,200.71
BK00069,2024-01-30 10:42:00,12.9166,77.6101,12.901,77.5855,12.77,47.2,1,157.72,1.5,236.58
BK00070,2024-02-27 02:37:00,12.9784,77.6408,12.9757,77.605,9.51,32.29,1,125.13,1.2,150.16
BK00071,2024-02-28 02:08:00,12.9915,77.5545,12.9592,77.6974,11.94,35.79,2,149.38,1.0,149.38
BK00072,2024-01-29 05:03:00,12.9166,77.6101,12.9915,77.5545,5.62,14.21,1,86.16,1.2,103.39
BK00073,2024-02-04 09:15:00,12.9915,77.5545,12.901,77.5855,10.07,30.8,1,130.69,1.2,156.82
BK00074,2024-01-14 15:00:00,12.9784,77.6408,12.9166,77.6101,9.86,37.54,1,128.59,1.2,154.3
BK00075,2024-02-04 04:48:00,12.901,77.5855,12.9784,77.6408,10.22,22.04,3,132.17,1.2,158.6
BK00076,2024-01-15 19:20:00,12.9352,77.6245,12.9166,77.6101,13.72,37.06,3,167.22,1.2,200.67
BK00077,2024-01-15 06:13:00,12.9757,77.605,12.9784,77.6408,11.07,41.26,1,140.74,1.2,168.89
BK00078,2024-01-19 08:44:00,12.8452,77.6602,12.9166,77.6101,12.94,26.79,2,159.38,2.5,398.46
BK00079,2024-01-02 16:06:00,12.9166,77.6101,12.9352,77.6245,10.24,39.56,2,132.37,2.0,264.74
BK00080,2024-01-21 06:23:00,12.9784,77.6408,12.9166,77.6101,1.1,2.3,3,40.99,2.5,102.48
BK00081,2024-01-02 14:04:00,12.9784,77.6408,12.8452,77.6602,12.55,35.91,3,155.53,1.0,155.53
BK00082,2024-01-05 19:13:00,13.0358,77.597,13.0358,77.597,10.33,27.67,3,133.32,1.5,199.98
BK00083,2024-01-31 11:21:00,12.9915,77.5545,12.9166,77.6101,14.72,58.45,1,177.16,2.0,354.31
BK00084,2024-01-23 16:21:00,12.9166,77.6101,12.9166,77.6101,4.69,18.15,2,76.94,1.0,76.94
BK00085,2024-02-06 11:17:00,12.9166,77.6101,12.9592,77.6974,6.02,17.15,3,90.25,2.0,180.5
BK00086,2024-02-23 06:05:00,12.9698,77.7499,12.901,77.5855,13.81,27.96,3,168.13,1.2,201.75
BK00087,2024-01-27 02:12:00,12.9784,77.6408,12.9915,77.5545,1.87,5.73,3,48.72,1.2,58.46
BK00088,2024-01-08 22:44:00,12.8452,77.6602,12.8452,77.6602,11.55,33.24,3,145.48,1.2,174.57
BK00089,2024-01-25 07:07:00,12.9757,77.605,12.901,77.5855,3.93,10.75,1,69.34,1.2,83.21
BK00090,2024-02-04 07:29:00,12.9352,77.6245,12.8452,77.6602,4.53,11.25,2,75.26,1.2,90.32
BK00091,2024-02-06 12:40:00,12.9915,77.5545,12.8452,77.6602,3.74,11.57,1,67.44,2.0,134.88
BK00092,2024-01-28 10:20:00,12.8452,77.6602,12.9166,77.6101,5.45,21.48,2,84.53,2.0,169.06
BK00093,2024-01-08 22:08:00,12.9352,77.6245,12.9784,77.6408,4.54,13.54,3,75.43,2.5,188.57
BK00094,2024-02-01 14:47:00,12.901,77.5855,12.8452,77.6602,8.39,20.13,3,113.89,2.0,227.79
BK00095,2024-01-07 17:17:00,12.9166,77.6101,12.9915,77.5545,10.99,22.91,2,139.94,2.5,349.85
BK00096,2024-01-29 19:29:00,12.9352,77.6245,12.9784,77.6408,10.62,30.04,1,136.25,1.2,163.5
BK00097,2024-01-25 12:35:00,12.9915,77.5545,12.901,77.5855,6.73,26.44,3,97.34,1.2,116.8
BK00098,2024-02-22 21:50:00,13.0358,77.597,12.9698,77.7499,1.78,5.67,2,47.83,2.0,95.66
BK00099,2024-02-04 02:45:00,12.9352,77.6245,12.9698,77.7499,3.07,8.69,3,60.65,1.5,90.98
BK00100,2024-01-21 01:11:00,12.901,77.5855,12.9757,77.605,7.33,21.53,2,103.34,1.5,155.01
BK00101,2024-01-05 20:05:00,12.9592,77.6974,12.901,77.5855,8.12,29.87,2,111.19,2.5,277.97
BK00102,2024-01-11 09:31:00,12.9698,77.7499,12.9352,77.6245,13.86,52.66,3,168.59,2.5,421.47
BK00103,2024-02-28 08:20:00,12.901,77.5855,12.9592,77.6974,9.92,25.76,2,129.16,1.2,154.99
BK00104,2024-02-28 04:59:00,12.901,77.5855,12.9352,77.6245,12.99,48.71,1,159.9,1.2,191.88
BK00105,2024-02-06 23:47:00,12.8452,77.6602,12.901,77.5855,13.19,34.94,1,161.93,2.5,404.84
BK00106,2024-02-27 03:46:00,12.9757,77.605,12.8452,77.6602,8.7,23.4,3,116.99,1.0,116.99
BK00107,2024-02-06 09:39:00,13.0358,77.597,12.901,77.5855,2.82,9.59,3,58.16,1.2,69.79
BK00108,2024-02-17 21:47:00,12.9166,77.6101,13.0358,77.597,12.84,29.05,2,158.4,1.2,190.08
BK00109,2024-01-21 02:27:00,12.9698,77.7499,12.901,77.5855,14.23,43.53,2,172.29,2.5,430.73
BK00110,2024-01-22 07:01:00,13.0358,77.597,12.9352,77.6245,4.37,8.77,2,73.71,1.2,88.45
BK00111,2024-02-01 03:39:00,12.9592,77.6974,12.9784,77.6408,13.44,38.92,1,164.36,2.5,410.91
BK00112,2024-02-22 18:25:00,12.9915,77.5545,12.901,77.5855,7.33,20.08,2,103.31,1.0,103.31
BK00113,2024-01-10 05:12:00,12.9757,77.605,12.9592,77.6974,14.7,50.41,1,177.04,2.0,354.08
BK00114,2024-01-27 20:52:00,12.9757,77.605,12.9592,77.6974,10.53,29.73,1,135.34,1.2,162.41
BK00115,2024-02-07 04:37:00,12.9915,77.5545,12.9592,77.6974,1.87,6.09,1,48.68,1.0,48.68
BK00116,2024-01-13 02:52:00,13.0358,77.597,12.9915,77.5545,13.72,47.99,3,167.21,1.2,200.65
BK00117,2024-01-17 21:08:00,12.9784,77.6408,12.9915,77.5545,3.47,9.8,3,64.71,2.0,129.42
BK00118,2024-02-23 23:52:00,12.9698,77.7499,12.9352,77.6245,8.93,19.94,3,119.28,2.0,238.57
BK00119,2024-02-18 09:52:00,12.9166,77.6101,12.9352,77.6245,6.76,16.16,3,97.63,1.0,97.63
BK00120,2024-02-07 07:55:00,12.9915,77.5545,12.9352,77.6245,1.27,3.45,3,42.74,1.2,51.29
BK00121,2024-01-09 03:33:00,12.9166,77.6101,12.901,77.5855,1.29,4.32,3,42.92,2.0,85.84
BK00122,2024-01-21 06:30:00,12.9757,77.605,12.901,77.5855,12.65,30.83,1,156.54,2.5,391.34
BK00123,2024-01-20 14:06:00,12.9915,77.5545,12.9352,77.6245,11.74,25.01,1,147.44,1.2,176.93
BK00124,2024-01-15 00:42:00,12.9784,77.6408,12.901,77.5855,4.14,15.83,2,71.36,2.0,142.73
BK00125,2024-02-03 13:20:00,12.9784,77.6408,12.9698,77.7499,12.86,28.26,2,158.62,2.5,396.56
BK00126,2024-02-26 09:38:00,12.901,77.5855,12.9698,77.7499,10.29,34.7,3,132.85,1.0,132.85
BK00127,2024-01-26 14:00:00,12.8452,77.6602,13.0358,77.597,5.38,16.09,1,83.83,1.5,125.74
BK00128,2024-01-15 16:10:00,13.0358,77.597,12.9166,77.6101,4.83,11.83,1,78.33,1.5,117.5
BK00129,2024-01-15 00:00:00,12.9784,77.6408,12.9698,77.7499,3.97,11.66,1,69.74,1.0,69.74
BK00130,2024-01-13 22:12:00,13.0358,77.597,12.9784,77.6408,9.14,31.01,1,121.41,1.5,182.12
BK00131,2024-02-28 13:18:00,12.9915,77.5545,12.9166,77.6101,8.28,18.47,1,112.83,2.0,225.66
BK00132,2024-02-29 01:09:00,13.0358,77.597,12.9166,77.6101,7.57,26.94,3,105.66,1.5,158.49
BK00133,2024-01-31 03:51:00,12.9352,77.6245,12.9757,77.605,12.94,34.25,1,159.4,1.0,159.4
BK00134,2024-02-09 21:59:00,12.9352,77.6245,12.901,77.5855,13.97,36.17,2,169.67,2.5,424.18
BK00135,2024-01-23 23:35:00,12.9352,77.6245,13.0358,77.597,3.87,8.01,3,68.7,1.0,68.7
BK00136,2024-01-20 16:57:00,12.901,77.5855,12.9352,77.6245,2.0,6.06,2,50.01,2.0,100.01
BK00137,2024-02-22 18:20:00,12.9757,77.605,12.9352,77.6245,2.07,4.45,3,50.74,1.0,50.74
BK00138,2024-01-17 19:34:00,12.9757,77.605,12.9784,77.6408,10.58,25.72,1,135.78,1.5,203.67
BK00139,2024-02-13 05:56:00,12.9915,77.5545,12.8452,77.6602,2.63,6.72,2,56.34,2.5,140.84
BK00140,2024-02-18 07:01:00,12.9166,77.6101,12.9784,77.6408,10.61,30.54,1,136.12,1.2,163.35
BK00141,2024-02-03 11:36:00,12.9784,77.6408,12.9592,77.6974,14.92,58.54,2,179.19,2.0,358.38
BK00142,2024-02-21 07:18:00,12.8452,77.6602,13.0358,77.597,12.5,35.08,1,154.98,2.5,387.45
BK00143,2024-01-27 17:54:00,13.0358,77.597,12.9166,77.6101,11.34,32.72,3,143.4,2.0,286.81
BK00144,2024-01-10 04:20:00,12.9166,77.6101,12.9698,77.7499,5.31,15.73,1,83.12,1.0,83.12
BK00145,2024-02-26 07:45:00,12.9915,77.5545,12.9784,77.6408,8.69,21.13,2,116.87,2.0,233.73
BK00146,2024-02-23 18:58:00,12.8452,77.6602,12.9784,77.6408,10.25,36.01,3,132.51,2.0,265.02
BK00147,2024-01-06 11:53:00,13.0358,77.597,12.9352,77.6245,2.11,6.18,2,51.07,1.2,61.29
BK00148,2024-02-14 18:31:00,12.9915,77.5545,12.9915,77.5545,11.86,29.39,1,148.64,1.0,148.64
BK00149,2024-01-27 00:12:00,12.9166,77.6101,12.901,77.5855,7.02,25.97,1,100.16,1.0,100.16
BK00150,2024-02-06 03:46:00,12.9352,77.6245,12.9915,77.5545,1.36,4.57,2,43.63,1.5,65.45
BK00151,2024-02-09 03:31:00,12.9592,77.6974,12.8452,77.6602,4.55,17.84,2,75.5,2.0,151.0
BK00152,2024-02-09 00:29:00,13.0358,77.597,12.9784,77.6408,14.97,54.24,1,179.71,1.5,269.57
BK00153,2024-01-05 19:04:00,12.901,77.5855,12.9784,77.6408,1.12,2.29,2,41.23,2.5,103.08
BK00154,2024-02-12 11:59:00,12.9166,77.6101,12.9698,77.7499,13.35,31.42,2,163.45,2.5,408.63
BK00155,2024-02-24 02:41:00,12.8452,77.6602,12.8452,77.6602,3.03,7.38,2,60.28,1.0,60.28
BK00156,2024-02-26 08:50:00,12.9784,77.6408,12.9757,77.605,9.69,36.36,2,126.93,1.2,152.31
BK00157,2024-01-12 15:53:00,13.0358,77.597,12.9166,77.6101,7.47,23.26,3,104.66,1.2,125.59
BK00158,2024-02-24 20:13:00,12.9915,77.5545,12.901,77.5855,5.62,16.12,3,86.19,1.2,103.43
BK00159,2024-01-04 06:28:00,12.9592,77.6974,12.9352,77.6245,6.55,22.45,1,95.47,1.0,95.47
BK00160,2024-02-17 09:08:00,12.9592,77.6974,12.8452,77.6602,10.58,22.16,1,135.77,1.2,162.92
BK00161,2024-02-01 04:04:00,13.0358,77.597,12.9915,77.5545,4.69,9.56,1,76.93,2.0,153.86
BK00162,2024-02-24 16:05:00,13.0358,77.597,12.9915,77.5545,9.38,26.8,3,123.76,2.5,309.39
BK00163,2024-02-04 23:28:00,12.9698,77.7499,12.901,77.5855,2.3,6.44,3,52.98,1.0,52.98
BK00164,2024-02-24 04:00:00,12.9698,77.7499,12.9784,77.6408,4.46,13.64,3,74.61,1.0,74.61
BK00165,2024-01-17 08:22:00,12.9784,77.6408,12.9166,77.6101,5.81,15.51,2,88.1,1.5,132.15
BK00166,2024-02-17 03:25:00,12.9352,77.6245,13.0358,77.597,13.02,26.41,3,160.23,1.0,160.23
BK00167,2024-02-07 21:42:00,12.9166,77.6101,13.0358,77.597,4.75,16.51,3,77.52,2.0,155.03
BK00168,2024-01-28 12:43:00,12.901,77.5855,12.8452,77.6602,9.14,19.61,1,121.38,2.5,303.44
BK00169,2024-02-23 00:34:00,13.0358,77.597,12.9915,77.5545,10.7,23.82,1,137.04,1.5,205.55
BK00170,2024-02-16 11:44:00,12.9592,77.6974,12.9784,77.6408,14.25,30.58,1,172.45,1.5,258.68
BK00171,2024-01-29 05:41:00,12.9915,77.5545,12.9698,77.7499,1.11,3.02,3,41.09,1.0,41.09
BK00172,2024-01-22 09:37:00,12.9698,77.7499,12.8452,77.6602,10.99,42.22,3,139.91,2.0,279.81
BK00173,2024-01-23 01:33:00,12.9784,77.6408,13.0358,77.597,3.88,13.51,3,68.82,1.5,103.23
BK00174,2024-01-14 07:16:00,12.9166,77.6101,12.9352,77.6245,1.7,4.58,2,47.05,1.2,56.45
BK00175,2024-01-27 23:19:00,13.0358,77.597,13.0358,77.597,8.66,24.5,3,116.62,1.5,174.93
BK00176,2024-02-27 00:50:00,13.0358,77.597,12.9352,77.6245,2.6,9.55,3,56.04,2.5,140.1
BK00177,2024-01-24 19:19:00,12.9166,77.6101,12.9592,77.6974,12.15,48.23,1,151.46,2.5,378.64
BK00178,2024-01-06 18:50:00,12.9784,77.6408,12.9698,77.7499,2.19,5.9,1,51.88,1.5,77.81
BK00179,2024-02-15 14:32:00,12.9915,77.5545,12.9698,77.7499,6.11,23.75,3,91.08,1.5,136.61
BK00180,2024-01-11 13:19:00,12.9592,77.6974,12.9166,77.6101,6.68,15.27,3,96.85,1.5,145.27
BK00181,2024-02-11 12:34:00,12.8452,77.6602,12.9698,77.7499,7.22,15.09,2,102.16,2.5,255.39
BK00182,2024-02-12 22:51:00,12.9757,77.605,12.901,77.5855,8.02,22.01,2,110.2,2.5,275.5
BK00183,2024-01-20 11:58:00,12.9166,77.6101,12.9757,77.605,3.18,11.29,2,61.78,2.0,123.56
BK00184,2024-01-27 15:16:00,12.9166,77.6101,12.9757,77.605,10.91,29.73,1,139.06,2.5,347.65
BK00185,2024-02-27 01:43:00,12.901,77.5855,12.9698,77.7499,13.44,50.43,3,164.4,1.2,197.28
BK00186,2024-01-14 04:42:00,12.901,77.5855,12.9592,77.6974,10.74,37.64,3,137.36,2.0,274.72
BK00187,2024-02-07 20:08:00,13.0358,77.597,12.9915,77.5545,2.12,4.28,3,51.19,1.2,61.43
BK00188,2024-01-20 19:25:00,12.9352,77.6245,12.8452,77.6602,8.85,23.69,3,118.45,2.5,296.13
BK00189,2024-02-17 16:52:00,12.9352,77.6245,12.9757,77.605,9.6,28.57,2,125.96,1.5,188.94
BK00190,2024-02-06 03:29:00,13.0358,77.597,12.9915,77.5545,2.39,5.11,3,53.94,1.2,64.73
BK00191,2024-01-07 00:43:00,12.8452,77.6602,12.9784,77.6408,5.7,22.4,3,87.05,1.2,104.46
BK00192,2024-02-17 20:30:00,12.9757,77.605,12.9915,77.5545,4.25,11.47,2,72.46,1.0,72.46
BK00193,2024-01-18 21:40:00,12.9592,77.6974,12.9915,77.5545,8.74,29.02,1,117.41,2.0,234.82
BK00194,2024-01-05 06:07:00,12.9166,77.6101,12.9166,77.6101,6.43,17.04,1,94.34,2.0,188.67
BK00195,2024-02-24 22:49:00,13.0358,77.597,12.9757,77.605,13.78,47.93,3,167.76,2.5,419.41
BK00196,2024-01-22 06:22:00,12.9784,77.6408,12.9166,77.6101,11.05,42.48,3,140.52,1.5,210.78
BK00197,2024-01-08 05:53:00,12.9757,77.605,12.9784,77.6408,6.96,18.71,3,99.61,2.0,199.21
BK00198,2024-01-06 07:23:00,12.9166,77.6101,12.901,77.5855,12.65,50.0,2,156.5,2.5,391.24
BK00199,2024-02-19 19:34:00,12.901,77.5855,12.9915,77.5545,10.46,31.74,2,134.64,1.2,161.56
BK00200,2024-01-21 23:02:00,12.901,77.5855,13.0358,77.597,5.18,15.54,3,81.83,2.5,204.57
BK00201,2024-01-17 23:28:00,12.9784,77.6408,12.9592,77.6974,2.01,4.91,1,50.1,1.5,75.15
BK00202,2024-01-03 22:45:00,12.9784,77.6408,12.9592,77.6974,3.5,9.64,2,64.95,2.0,129.9
BK00203,2024-01-29 01:53:00,13.0358,77.597,12.9784,77.6408,1.27,4.58,3,42.67,1.0,42.67
BK00204,2024-02-19 19:23:00,12.9757,77.605,12.9915,77.5545,6.41,13.97,3,94.14,1.5,141.21
BK00205,2024-01-30 03:48:00,12.9915,77.5545,12.9166,77.6101,13.04,47.78,3,160.41,1.5,240.62
BK00206,2024-02-11 06:58:00,12.9698,77.7499,12.9352,77.6245,11.09,42.01,3,140.91,2.5,352.27
BK00207,2024-01-17 13:24:00,12.9166,77.6101,12.9352,77.6245,14.07,28.9,3,170.7,2.5,426.74
BK00208,2024-02-03 03:49:00,12.8452,77.6602,12.9698,77.7499,13.39,48.07,3,163.94,1.5,245.91
BK00209,2024-02-03 02:18:00,13.0358,77.597,12.9915,77.5545,14.34,37.72,3,173.43,1.0,173.43
BK00210,2024-01-09 08:46:00,12.901,77.5855,12.9784,77.6408,10.72,21.83,3,137.17,2.5,342.94
BK00211,2024-02-07 05:13:00,12.9915,77.5545,12.901,77.5855,7.83,19.85,1,108.27,2.5,270.69
BK00212,2024-01-24 10:27:00,12.9698,77.7499,12.9784,77.6408,8.45,33.58,3,114.45,2.5,286.13
BK00213,2024-01-16 17:15:00,13.0358,77.597,12.9166,77.6101,12.23,47.17,2,152.3,1.2,182.76
BK00214,2024-02-25 21:53:00,12.9166,77.6101,12.9698,77.7499,3.64,7.31,3,66.36,1.5,99.54
BK00215,2024-02-08 16:45:00,12.9784,77.6408,13.0358,77.597,12.94,26.05,1,159.45,2.5,398.62
BK00216,2024-01-09 15:11:00,13.0358,77.597,12.9915,77.5545,11.61,38.9,1,146.13,1.0,146.13
BK00217,2024-02-01 04:31:00,12.901,77.5855,12.9698,77.7499,10.03,23.08,2,130.27,2.0,260.54
BK00218,2024-02-27 14:42:00,12.901,77.5855,13.0358,77.597,11.92,34.09,1,149.24,1.5,223.86
BK00219,2024-01-28 15:04:00,12.8452,77.6602,12.9698,77.7499,10.03,21.85,2,130.34,2.0,260.68
BK00220,2024-01-31 21:05:00,12.9166,77.6101,12.9757,77.605,12.93,38.84,1,159.33,1.2,191.19
BK00221,2024-02-18 10:17:00,12.9352,77.6245,12.9166,77.6101,5.83,14.16,2,88.29,2.5,220.73
BK00222,2024-02-08 21:12:00,13.0358,77.597,12.901,77.5855,1.46,4.25,1,44.6,2.5,111.5
BK00223,2024-01-20 17:01:00,12.901,77.5855,12.9592,77.6974,5.4,20.29,2,83.98,2.5,209.95
BK00224,2024-01-25 20:08:00,12.9698,77.7499,12.9698,77.7499,8.71,19.97,2,117.1,1.0,117.1
BK00225,2024-02-28 05:30:00,12.901,77.5855,12.9592,77.6974,8.25,16.82,3,112.48,1.2,134.97
BK00226,2024-01-23 21:34:00,12.8452,77.6602,12.9592,77.6974,5.14,12.96,2,81.43,1.2,97.71
BK00227,2024-01-23 18:20:00,12.8452,77.6602,12.9915,77.5545,2.28,5.99,3,52.85,1.0,52.85
BK00228,2024-01-03 07:40:00,12.9698,77.7499,12.9915,77.5545,14.1,30.51,2,170.96,2.0,341.92
BK00229,2024-01-21 02:06:00,12.9698,77.7499,12.9698,77.7499,12.21,26.1,3,152.12,2.5,380.29
BK00230,2024-01-29 01:36:00,12.9166,77.6101,13.0358,77.597,9.19,25.79,3,121.9,1.2,146.28
BK00231,2024-02-22 04:08:00,12.901,77.5855,12.9592,77.6974,13.54,47.38,1,165.38,1.5,248.07
BK00232,2024-02-29 14:18:00,12.9784,77.6408,12.9592,77.6974,9.59,29.34,2,125.92,2.0,251.83
BK00233,2024-02-23 18:39:00,12.9915,77.5545,12.8452,77.6602,7.01,23.61,3,100.15,1.2,120.18
